IdMovie,IdActor
114,43309
114,55126
115,4040
116,40757
116,8977
116,23207
116,40462
116,26688
116,23174
116,7474
116,48782
116,1409
116,32597
116,38239
116,3545
116,33646
116,36620
116,42680
116,13829
116,51706
116,48625
116,56583
116,29033
116,22605
116,5295
116,606
116,48499
116,58737
117,42182
117,51815
117,53951
117,22623
117,51662
118,8774
118,29604
118,41205
118,4715
118,29484
118,5491
118,55988
118,48748
118,17916
119,24579
120,24579
121,24579
122,24579
123,17747
123,32850
123,36231
124,27369
124,51772
124,26959
124,31279
124,27508
124,47834
125,27473
125,9524
125,49344
126,54942
126,48396
126,18469
127,49336
127,16318
127,10596
127,55839
127,49061
128,61799
128,26960
128,59350
129,24579
130,40848
131,13062
132,49756
132,59798
132,45846
132,45642
133,28137
133,12074
133,30848
133,2678
133,26756
133,11120
133,51422
134,26707
134,7657
134,9263
134,55755
134,36152
134,23411
134,39051
134,28722
135,24579
136,49988
136,39643
136,9273
136,17775
136,53602
137,31006
137,49026
138,38234
138,25917
138,38709
138,58371
139,24579
140,40457
140,42373
141,20183
141,55828
141,31196
141,53022
141,11481
142,45299
142,42921
142,40144
142,10009
142,21092
142,26834
143,41511
143,35446
143,1143
143,60542
143,25678
144,49238
144,39065
144,27340
145,19457
145,12246
145,4177
146,42724
146,62172
146,55078
147,55045
147,4369
147,33108
148,24579
149,24579
150,24579
151,24579
152,7114
152,60177
152,58998
152,15778
152,10580
152,22865
152,28264
152,38811
152,19233
152,30032
152,55732
152,43569
152,49543
152,55886
152,6688
152,32978
152,22409
153,17013
153,12573
154,35453
154,29554
154,23561
154,25541
154,31779
154,24947
154,33976
154,582
154,26421
154,54563
154,27937
154,2598
155,35453
155,29554
155,23561
155,25541
155,31779
155,24947
155,33976
155,582
155,26421
155,54563
155,27937
155,2598
156,27745
156,16804
156,50133
156,36175
156,21829
156,42713
156,36304
156,2937
156,59628
156,62085
156,20810
157,44089
157,57146
157,59097
157,37600
158,11457
159,11457
160,53190
160,13415
160,50185
160,38593
160,52847
160,26369
160,20253
161,25834
161,37885
161,51121
161,55227
161,6129
161,3041
161,32917
161,30686
161,4565
162,2268
162,54697
162,61720
162,51913
163,58704
163,26569
163,21213
163,21133
163,24041
163,8703
163,28302
164,11235
164,21006
164,32211
164,24854
164,54427
164,2121
164,45450
164,3594
164,35243
165,872
165,4593
165,12614
165,61388
165,1889
165,26836
165,8296
166,26659
166,27518
166,35470
166,30412
167,23536
167,44931
167,8383
167,25245
167,15075
167,9557
168,41334
168,46935
168,14605
168,19095
168,47737
169,13136
169,12850
169,34315
169,27055
170,56467
170,25756
170,2338
171,24579
172,24579
173,47826
173,41510
174,13332
174,1503
174,15264
174,13047
174,12828
174,51011
175,53843
175,39722
175,21947
176,5108
176,9800
176,6188
176,40790
177,24579
178,24579
179,10476
179,47962
180,54445
180,34287
181,50847
181,24032
181,60044
182,54878
182,21368
182,7653
182,15360
183,43018
183,18866
183,17218
184,31024
184,57344
184,61717
184,10100
184,10242
185,59287
185,48900
185,16648
185,39415
185,46694
186,61621
186,51923
186,48177
187,24579
188,46938
189,13121
189,45713
189,26691
190,12455
190,35281
190,42579
190,53510
190,37514
190,46990
190,4670
190,28023
191,61151
192,9174
192,18604
193,43331
193,24078
193,27890
193,33308
194,13832
194,59868
194,55654
194,19616
195,24579
196,24579
197,25415
197,29555
198,24579
199,20213
199,27409
199,3971
199,23374
199,9540
200,24348
201,52299
202,40529
202,47812
202,5514
202,13971
202,60594
203,58532
203,37114
203,40059
203,14952
203,14058
204,24028
204,37586
204,21487
204,52212
205,24028
205,37586
205,21487
205,52212
206,24028
206,37586
206,21487
206,52212
207,50159
207,18226
207,19584
208,39464
208,20025
208,10065
209,24579
210,24579
211,24579
212,24579
213,40127
213,56649
213,60102
213,33256
213,59594
213,35553
214,44183
214,16495
214,41776
215,15747
215,51495
215,4869
215,18648
215,31189
216,53966
216,12185
216,540
216,44179
216,19775
216,29691
216,41446
216,15475
216,52079
216,13377
217,20371
217,51412
217,19943
217,22970
217,25619
217,17080
218,24579
219,58409
219,54791
219,12426
219,61134
219,33241
219,45619
219,19644
219,14536
219,38551
219,58720
219,55437
220,25415
220,29555
221,2403
221,29470
221,21
221,57552
221,48537
221,4061
221,10910
222,14110
222,51400
222,33450
222,25849
223,25834
223,4703
223,19475
223,23155
223,10083
223,58821
223,32343
223,44109
223,7630
223,16669
223,45426
223,21794
223,44937
223,47277
223,17519
223,22756
223,34344
223,3259
223,14060
223,10695
223,35879
223,46497
223,14240
223,27878
223,6005
223,6349
223,35755
223,4191
223,27989
223,56431
223,47740
223,10562
223,40084
223,27871
223,6463
223,13950
223,49349
223,50758
223,15531
223,60409
223,16967
223,56726
224,43632
224,36169
224,34314
225,31567
226,25834
226,37885
226,40088
226,50985
226,14822
226,49489
226,57100
226,58999
226,9525
227,36009
227,27144
227,19987
227,23559
228,35411
228,21829
228,18475
228,645
228,10429
229,15870
229,43838
230,3730
230,37575
230,15668
230,19984
230,19776
230,29929
230,42501
231,26696
232,39899
232,10237
232,8869
232,11726
233,58181
233,41609
234,27365
234,33923
234,38402
235,23135
235,33237
235,14506
235,33175
235,17310
235,7436
236,27050
237,45705
238,26401
238,8592
238,53526
238,8171
238,22272
238,33393
238,57107
238,13196
238,26623
238,14702
238,35660
238,27710
238,48320
238,35923
238,42910
238,30410
238,42148
238,30503
239,2806
240,37052
240,4313
240,45692
240,30255
240,31708
240,40681
240,18768
240,53676
240,57373
240,31307
241,53575
242,20292
242,48320
243,14883
243,30061
243,6741
244,36291
244,13666
244,118
245,24579
246,56628
246,46857
246,59063
246,43335
246,27431
246,37600
246,46458
246,47418
247,14857
247,49633
247,25889
247,1524
247,2231
247,16175
247,14210
248,24579
249,41050
250,10167
250,54049
250,41163
250,27844
250,48863
250,11094
250,59696
250,41014
251,43123
251,16085
251,33956
251,60356
252,54426
252,33080
252,40654
252,42047
252,4795
252,36833
252,31094
252,54778
252,33878
252,22871
253,62179
253,44370
253,34393
253,17068
254,26691
254,13121
254,54466
254,4166
255,45990
255,26332
256,1658
256,49712
256,371
256,26939
256,37468
256,41345
257,21460
257,47263
257,41727
258,10481
259,2
259,41505
259,58935
259,7095
259,19403
260,24579
261,24579
262,36189
262,58717
262,54858
263,12277
263,28036
263,43353
264,11806
264,6086
264,38910
265,8656
265,31455
265,7893
265,39041
265,38489
265,11232
265,16557
265,49829
265,18705
265,1
266,7255
267,4799
267,19052
268,24579
269,4672
269,13737
269,12447
270,6859
270,2498
270,11804
270,46950
270,36749
270,34925
270,20690
270,39327
270,5570
270,9733
270,45734
270,37101
270,6926
270,43822
270,44035
270,32432
270,24129
270,18226
270,2230
270,35871
270,23173
271,39037
271,9467
271,59173
271,56960
271,18623
272,57856
272,16853
272,61749
272,16022
272,8179
273,49912
274,5946
274,48496
274,60919
274,24676
274,41731
274,22119
275,17167
275,4642
275,33210
275,34601
275,19669
275,6954
275,20239
275,24336
276,19756
276,30739
276,32377
276,6964
276,45889
276,54288
276,38469
276,59627
276,38221
276,7870
277,23263
277,12153
277,44591
277,58228
277,15287
277,55852
277,47478
278,24579
279,4268
280,42912
280,4812
280,40165
280,7389
280,33998
280,7145
281,52999
281,33308
281,17348
282,53826
282,7847
282,17087
282,11593
283,33467
283,48185
284,46709
284,24454
284,14905
284,17673
284,55401
284,44286
284,19943
285,34278
285,49253
286,59337
286,33660
287,36619
287,675
287,26516
288,33467
289,33467
289,60053
290,60053
290,33467
291,33467
291,5263
291,60053
292,33467
293,23734
293,39580
293,37842
294,59965
294,54890
294,36447
294,55851
294,56663
294,7020
294,29599
294,59470
294,5928
295,53837
295,43218
295,58888
295,46206
295,14742
295,23442
295,48819
295,41710
295,25214
295,6249
295,7918
296,47427
297,34236
297,26484
297,18446
297,52052
297,53616
297,37620
298,51102
299,24579
300,21168
301,58338
302,28257
303,59782
303,16069
303,28279
304,12464
305,56157
306,56157
307,24579
308,53080
309,2685
310,1448
310,38928
310,57890
310,2914
310,39859
310,6903
310,7050
310,32907
310,18406
311,24579
312,23642
312,21064
312,43664
312,49747
312,57387
313,44601
314,61582
314,41819
314,8981
314,4459
314,6111
315,2787
315,24848
315,61140
316,24579
317,41984
318,31609
318,53977
318,5574
318,8939
318,25832
318,43489
319,22040
319,54080
319,34372
319,1225
319,8598
319,8233
320,48773
321,37336
321,2809
321,45782
321,25141
322,24755
322,52998
322,55648
322,26985
322,50288
322,27866
322,49166
322,29099
323,41857
324,24579
325,7785
326,7308
326,38564
326,35969
326,38092
327,24579
328,28801
328,40094
328,43562
329,24442
329,45192
329,16357
330,24579
331,44996
331,8375
331,492
331,43774
331,16117
331,12724
332,44996
332,8375
332,492
332,43774
332,16117
332,12724
333,3508
333,61089
333,11010
334,7194
334,61516
334,50298
334,50323
334,7386
334,54982
335,21109
335,58158
335,41269
335,18184
335,37764
335,18279
336,20032
337,35238
337,35121
337,41245
337,61636
337,38282
337,14924
337,9868
337,55120
337,21984
338,24579
339,51255
339,24372
339,7942
339,31880
339,9823
339,62198
339,48059
339,16726
340,19247
340,8923
340,15939
340,25592
340,26945
340,1995
341,17058
341,19582
341,38707
342,8141
342,8623
342,51008
343,24579
344,46719
344,18046
344,13984
344,40802
345,24579
346,24579
347,1346
347,2237
348,10366
348,8982
348,24372
348,37778
348,40635
348,5801
348,4120
348,40260
348,31218
348,58851
349,39715
349,37603
349,24688
349,59713
349,19852
350,54612
350,40126
350,40536
350,61530
351,15552
351,24076
351,60607
351,48325
352,54353
352,12296
352,57749
352,50329
352,55483
352,41737
353,22640
353,29291
354,57178
354,40701
354,28779
355,37819
355,21829
355,55172
355,11438
355,50094
355,10150
355,6299
355,44018
355,6472
355,13743
355,51955
355,40230
355,33344
355,47830
355,37697
355,7064
356,24579
357,7452
358,9054
359,7452
360,24579
361,49439
362,24579
363,23601
363,55010
363,21839
363,59806
363,17873
364,51996
364,29389
364,47427
364,42995
364,30254
364,55053
364,33891
364,33521
364,52386
364,56153
364,58867
364,23261
364,59344
364,11290
364,11548
364,2498
364,34213
364,36358
364,60970
364,43739
364,26895
364,60408
365,40294
365,35100
365,28135
365,61987
365,48405
365,21685
365,50893
365,35454
366,28596
366,46978
366,10868
366,53102
366,37684
366,55575
366,14033
366,13233
366,47539
367,28596
367,46978
367,10868
367,53102
367,37684
367,55575
367,14033
367,13233
367,47539
368,62094
368,46720
368,44650
369,35689
369,8574
369,56076
369,28555
369,53020
369,17130
369,54126
369,35200
369,17587
369,53315
369,2090
369,36653
369,4685
369,42746
369,25625
369,10110
369,41533
369,2591
369,4153
369,39690
369,55039
369,52835
370,36122
370,1967
370,40453
371,52937
371,23393
371,1493
371,52774
371,29660
371,40337
372,24579
373,29321
373,34536
373,5159
373,40394
373,48585
374,16005
374,18469
374,1665
374,6186
375,34377
375,46606
375,9933
376,14872
376,29525
376,19582
376,30619
376,2030
377,42425
377,10652
377,36331
377,44929
377,38141
377,13298
378,8501
378,48311
378,44364
379,24579
380,24579
381,24579
382,24579
383,24579
384,20137
384,46264
384,26287
384,30612
384,44079
384,18054
384,57083
384,2569
384,10603
384,1863
384,29489
384,32580
384,5084
384,53621
384,19015
384,47242
384,51213
385,49371
385,37522
385,38072
385,53649
386,49005
387,35423
387,42426
388,1300
388,36319
388,8077
388,990
389,38304
389,61216
389,13341
389,9
390,15441
390,30172
390,3826
390,8096
390,24825
390,60430
390,46868
390,21709
390,37404
390,40523
391,54585
391,43213
391,18856
392,32553
392,59069
392,15933
392,32755
393,43726
393,47100
393,58681
393,61732
393,57963
393,35174
393,35616
393,37059
393,61342
394,24579
395,44307
395,12823
395,26679
395,28849
396,26077
396,55370
396,16338
397,4796
398,58842
398,19564
399,49675
399,56283
399,8410
399,56622
399,45989
399,46104
399,39071
399,56144
399,48731
399,10542
399,35022
399,27626
399,12176
399,36871
399,14622
400,25168
400,24089
400,44354
401,55232
401,29344
401,60066
401,18480
402,47825
402,33046
402,18644
402,16894
403,30711
403,33728
403,22874
403,41101
403,21527
403,58237
404,28944
404,40563
404,56042
405,56983
405,43623
405,38201
405,37002
405,60796
406,32846
406,27939
406,32807
406,34980
406,25738
406,1536
407,34126
407,18375
407,15970
408,4911
408,3481
408,28298
409,16658
409,33469
409,15453
409,35907
409,9877
409,9459
409,55401
410,24579
411,30795
411,58484
411,26269
411,53565
412,24579
413,42856
413,60970
413,49904
413,41454
413,11531
413,38838
413,3349
413,7841
413,42060
413,61522
414,5531
414,19294
414,7198
414,45378
415,11111
415,4479
415,50444
415,45366
415,36181
415,30378
416,32893
416,47222
416,5166
416,218
